JD,3-Jan-17,25.95,25.82,25.64,26.11,8275300
JD,4-Jan-17,26.05,25.85,25.58,26.08,7862800
JD,5-Jan-17,26.15,26.3,26.05,26.8,10205600
JD,6-Jan-17,26.3,26.27,25.92,26.41,6234300
JD,9-Jan-17,26.64,26.26,26.14,26.95,8071500
JD,10-Jan-17,26.3,26.9,26.25,27.1,20417400
JD,11-Jan-17,26.76,26.77,26.44,27.18,5498100
JD,12-Jan-17,26.83,26.61,26.48,26.83,4867700
JD,13-Jan-17,26.77,26.84,26.52,26.9,5929700
JD,17-Jan-17,26.82,27.21,26.71,27.65,7717500
JD,18-Jan-17,27.34,27.16,26.86,27.5,5974400
JD,19-Jan-17,27.3,27.75,27.13,27.84,10279700
JD,20-Jan-17,27.96,27.6,27.54,28.14,7142000
JD,23-Jan-17,27.5,28.18,27.46,28.27,9972400
JD,24-Jan-17,28.5,28.54,28.22,28.91,13843200
JD,25-Jan-17,28.77,28.59,28.35,28.84,7459500
JD,26-Jan-17,28.8,28.32,28.18,28.8,6052100
JD,27-Jan-17,28.35,28.36,28.12,28.5,3107000
JD,30-Jan-17,28.17,28.56,28.06,28.64,3595000
JD,31-Jan-17,28.32,28.4,28.01,28.46,4381700
JD,1-Feb-17,28.59,28.13,28.02,28.59,4109200
JD,2-Feb-17,28,28.17,27.88,28.21,4403300
JD,3-Feb-17,28.28,28.32,28.08,28.4,3671500
JD,6-Feb-17,28.64,28.54,28.35,28.8,3919200
JD,7-Feb-17,28.66,28.81,28.46,28.94,4834600
JD,8-Feb-17,28.81,28.98,28.63,29.06,3769400
JD,9-Feb-17,28.96,29.01,28.76,29.2,6234700
JD,10-Feb-17,29.21,29.38,29.01,29.52,4491400
JD,13-Feb-17,29.52,29.52,29.1,29.65,6084500
JD,14-Feb-17,29.48,29.43,29.28,29.74,3330800
JD,15-Feb-17,29.5,30.14,29.4,30.25,8001200
JD,16-Feb-17,30.32,30.23,30.03,30.57,7706200
JD,17-Feb-17,29.57,29.85,29.51,30.27,7079600
JD,21-Feb-17,30,30.23,29.81,30.28,5131400
JD,22-Feb-17,30.27,30.47,30.1,30.67,6599800
JD,23-Feb-17,30.75,30.61,30.23,30.88,9920800
JD,24-Feb-17,30.5,30.27,30.03,30.52,4641300
JD,27-Feb-17,30.3,30.8,30.25,30.91,5946300
JD,28-Feb-17,30.97,30.57,30.36,31.16,8639500
JD,1-Mar-17,30.83,30.67,30.56,30.99,7942600
JD,2-Mar-17,31.74,30.93,30.48,32.47,22176000
JD,3-Mar-17,31.32,30.93,30.87,31.58,9199300
JD,6-Mar-17,30.97,30.41,30.24,30.98,8109800
JD,7-Mar-17,30.2,30.75,29.96,30.94,7488300
JD,8-Mar-17,30.61,31.34,30.6,31.64,8226600
JD,9-Mar-17,31.15,31.2,30.96,31.51,5546200
JD,10-Mar-17,31.35,31.06,30.94,31.55,6038500
JD,13-Mar-17,31.27,31.69,31.15,31.82,6473500
JD,14-Mar-17,31.46,31.37,31.11,31.59,4364700
JD,15-Mar-17,31.35,31.38,31.08,31.53,4368800
JD,16-Mar-17,31.87,31.54,31.44,32.21,6367500
JD,17-Mar-17,31.77,31.56,31.34,31.77,6464100
JD,20-Mar-17,31.57,31.72,31.54,31.87,4270800
JD,21-Mar-17,31.88,30.32,30.14,31.93,9364400
JD,22-Mar-17,30.18,30.58,29.88,30.61,6790000
JD,23-Mar-17,30.85,31.29,30.61,31.35,8940500
JD,24-Mar-17,31.42,31.26,31.1,31.84,5826800
JD,27-Mar-17,31,31.38,30.76,31.55,4055400
JD,28-Mar-17,31.33,31.46,31.21,32,5862300
JD,29-Mar-17,31.5,31.58,31.42,31.67,3152800
JD,30-Mar-17,31.5,31.56,31.47,31.89,4907700
JD,31-Mar-17,31.4,31.11,31.08,31.56,5975200
JD,3-Apr-17,31.43,31.92,31.27,32.1,7934900
JD,4-Apr-17,31.8,31.44,31.23,31.89,4927500
JD,5-Apr-17,31.58,31.53,31.44,32.06,5368400
JD,6-Apr-17,31.69,32.23,31.49,32.26,5840700
JD,7-Apr-17,32.2,32.01,31.57,32.25,5651000
JD,10-Apr-17,32.16,32.67,32.15,32.92,8303800
JD,11-Apr-17,32.7,32.3,32.22,33.28,8054200
JD,12-Apr-17,32.31,32.71,32.31,32.88,6818000
JD,13-Apr-17,32.74,32.47,32.45,32.87,3013600
